Datensatz,Mark1/Opt1,Mark1/Opt2,E,E - GUI,U,U - GUI,A,B,C,"Min,Max",
1,65,70,55,max,3,max,81,76,64,81,A_HIGHEST
2,85,89,35,min,3,min,60,80,45,45,C_LOWEST
3,55,75,65,min,max(B),max,60,85,60,85,B_HIGHEST
4,70,88,20,max,min(A),min,11,36,36,11,A_LOWEST
5,82,93,82,min,3,max,81,77,69,81,A_HIGHEST
6,64,78,60,max,3,max,64,82,50,82,B_HIGHEST
7,69,81,73,max,3,max,57,52,71,71,C_HIGHEST
8,35,72,32,max,3,min,36,66,64,36,A_LOWEST
9,59,66,68,min,max(C),max,65,65,75,75,C_HIGHEST
10,88,97,88,max,max(B),max,88,97,88,97,B_HIGHEST
11,63,81,83,max,min(A),min,64,77,77,64,A_LOWEST
12,76,93,77,max,min(A),min,68,79,79,68,A_LOWEST
13,34,56,17,min,max(C),max,8,8,35,35,C_HIGHEST
14,80,89,32,max,max(C),max,74,74,86,86,C_HIGHEST
15,44,76,70,max,max(C),max,70,70,90,90,C_HIGHEST
16,15,25,49,min,max(B),max,44,65,44,65,B_HIGHEST
17,58,82,44,max,3,max,45,50,40,50,B_HIGHEST
18,50,67,38,max,3,max,70,58,52,70,A_HIGHEST
19,40,52,59,max,max(B),max,68,83,68,83,B_HIGHEST
20,73,91,45,min,3,max,47,93,61,93,B_HIGHEST
21,41,77,58,min,3,max,64,60,78,78,C_HIGHEST
22,79,87,83,min,max(A),max,37,15,15,37,A_HIGHEST
23,68,96,69,min,max(A),max,93,81,81,93,A_HIGHEST
24,53,86,80,max,min(C),min,71,71,58,58,C_LOWEST
25,36,95,85,min,3,max,95,79,91,95,A_HIGHEST
26,42,71,56,max,min(A),min,5,29,29,5,A_LOWEST
27,60,78,18,max,max(B),max,18,73,18,73,B_HIGHEST
28,57,84,61,max,min(C),min,61,61,32,32,C_LOWEST
29,69,92,65,max,min(C),min,53,53,11,11,C_LOWEST
30,62,83,72,max,min(C),min,88,88,67,67,C_LOWEST
31,60,74,67,min,max(C),max,58,58,74,74,C_HIGHEST
32,77,95,79,max,3,max,87,95,65,95,B_HIGHEST
33,49,91,84,min,max(B),max,79,91,79,91,B_HIGHEST
34,38,57,33,min,min(B),min,72,54,72,54,B_LOWEST
35,54,87,41,max,min(C),min,66,66,44,44,C_LOWEST
36,69,84,19,max,max(B),max,12,46,12,46,B_HIGHEST
37,65,97,59,min,max(C),max,12,12,97,97,C_HIGHEST
38,66,83,36,min,min(A),min,35,55,55,35,A_LOWEST
39,43,89,8,min,min(A),min,9,28,28,9,A_LOWEST
40,51,68,47,max,3,max,78,56,49,78,A_HIGHEST
41,67,90,54,min,max(B),max,33,74,33,74,B_HIGHEST
42,45,72,30,max,3,max,84,45,38,84,A_HIGHEST
43,46,74,68,max,max(A),max,77,64,64,77,A_HIGHEST
44,66,94,66,max,3,min,44,94,92,44,A_LOWEST
45,60,90,34,min,3,max,90,81,79,90,A_HIGHEST
46,66,86,83,max,3,min,90,81,79,79,C_LOWEST
47,39,75,62,max,min(B),min,58,7,58,7,B_LOWEST
48,27,48,56,min,max(B),max,54,89,54,89,B_HIGHEST
49,47,92,62,max,max(B),max,59,78,59,78,B_HIGHEST
50,26,85,17,min,max(C),max,39,39,75,75,C_HIGHEST
51,42,71,63,max,3,max,69,87,77,87,B_HIGHEST
52,37,91,57,min,min(C),min,27,27,9,9,C_LOWEST
53,7,33,20,max,max(A),max,30,15,15,30,A_HIGHEST
54,29,XXXXXXXXXX,XXXXXXX,XXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,-1,-1
55,58,83,48,max,min(C),min,27,27,13,13,C_LOWEST
56,73,90,40,max,min(C),min,27,27,13,13,C_LOWEST
57,62,96,24,min,3,min,58,96,36,36,C_LOWEST
58,31,80,31,max,3,max,67,29,21,67,A_HIGHEST
59,79,93,64,max,3,max,21,67,29,67,B_HIGHEST
60,64,94,46,max,3,max,76,94,43,94,B_HIGHEST
61,73,79,74,max,max(B),max,5,20,5,20,B_HIGHEST
62,50,79,59,max,max(A),max,20,5,5,20,A_HIGHEST
63,73,84,52,min,min(A),min,4,63,63,4,A_LOWEST
64,76,99,53,max,3,min,92,99,63,63,C_LOWEST
65,57,70,11,max,max(A),max,88,43,43,88,A_HIGHEST
66,76,88,72,max,max(A),max,88,43,43,88,A_HIGHEST
67,32,80,32,min,min(B),min,60,28,60,28,B_LOWEST
68,56,75,14,max,min(A),min,17,39,39,17,A_LOWEST
69,46,67,46,max,3,min,59,62,48,48,C_LOWEST
70,28,66,54,min,3,max,12,23,40,40,C_HIGHEST
71,62,86,36,max,3,max,31,41,53,53,C_HIGHEST
72,53,92,21,min,3,max,14,34,92,92,C_HIGHEST
73,58,87,23,max,3,max,72,55,86,86,C_HIGHEST
74,54,94,22,max,3,min,61,93,87,61,A_LOWEST
75,29,68,25,max,max(C),max,25,25,68,68,C_HIGHEST
76,47,81,75,max,min(A),min,22,43,43,22,A_LOWEST
77,55,85,27,min,3,max,85,32,37,85,A_HIGHEST
78,53,77,63,min,3,max,25,93,46,93,B_HIGHEST
79,30,52,26,max,3,max,88,7,17,88,A_HIGHEST
80,29,74,5,min,max(B),max,11,26,11,26,B_HIGHEST
81,28,58,41,max,min(C),min,41,41,24,24,C_LOWEST
82,71,91,51,min,min(A),min,56,71,71,56,A_LOWEST
83,41,63,51,min,3,min,47,71,74,47,A_LOWEST
84,64,94,87,max,max(C),max,72,72,94,94,C_HIGHEST
85,78,89,50,max,3,min,72,27,8,8,C_LOWEST
